"activity" "subject" "avg_tBodyAcc_mean" "avg_tBodyAcc_std" "avg_tGravityAcc_mean" "avg_tGravityAcc_std" "avg_tBodyAccJerk_mean" "avg_tBodyAccJerk_std" "avg_tBodyGyro_mean" "avg_tBodyGyro_std" "avg_tBodyGyroJerk_mean" "avg_tBodyGyroJerk_std" "avg_tBodyAccMag_mean" "avg_tBodyAccMag_std" "avg_tGravityAccMag_mean" "avg_tGravityAccMag_std" "avg_tBodyAccJerkMag_mean" "avg_tBodyAccJerkMag_std" "avg_tBodyGyroMag_mean" "avg_tBodyGyroMag_std" "avg_tBodyGyroJerkMag_mean" "avg_tBodyGyroJerkMag_std" "avg_fBodyAcc_mean" "avg_fBodyAcc_std" "avg_fBodyAccJerk_mean" "avg_fBodyAccJerk_std" "avg_fBodyGyro_mean" "avg_fBodyGyro_std" "avg_fBodyAccMag_mean" "avg_fBodyAccMag_std" "avg_fBodyBodyAccJerkMag_mean" "avg_fBodyBodyAccJerkMag_std" "avg_fBodyBodyGyroMag_mean" "avg_fBodyBodyGyroMag_std" "avg_fBodyBodyGyroJerkMag_mean" "avg_fBodyBodyGyroJerkMag_std"
"LAYING" 1 -0.11320355358 -0.826061401628 0.4458177198 -0.85236629022 0.010834236361 -0.9548551108 0.14868943626 -0.9082846626 -0.0740501211 -0.9577901596 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.8826668762 -0.81289155944 -0.9480609042 -0.9605869872 -0.909302721 -0.9165825082 -0.8617676481 -0.7983009404 -0.9333003608 -0.9218039756 -0.8621901854 -0.82431943968 -0.9423669466 -0.9326606676
"LAYING" 2 -0.107245610416667 -0.984233296875 0.646834879583333 -0.984230418125 -0.00180264895625 -0.988442014375 0.144882846104167 -0.960306560416667 -0.0701783020833333 -0.98803582125 -0.977435485208333 -0.972873912916667 -0.977435485208333 -0.972873912916667 -0.987741696041667 -0.98551807625 -0.950011569583333 -0.961164053958333 -0.991767074166667 -0.989718095208333 -0.984380981875 -0.984792185 -0.986197134583333 -0.989345368541667 -0.9626718875 -0.963174222291667 -0.975110196458333 -0.975121387916667 -0.985374114791667 -0.984568489166667 -0.972112972708333 -0.96109837875 -0.990248702291667 -0.989492660416667
"LAYING" 3 -0.101300477506452 -0.96369103483871 0.48870318516129 -0.964807543870968 -0.00435625874355645 -0.982093162903226 0.137999561112903 -0.963505609032258 -0.06873387 -0.983338279516129 -0.972791346129032 -0.964218176451613 -0.972791346129032 -0.964218176451613 -0.979484593387097 -0.976121297903226 -0.951564751451613 -0.954275110967742 -0.98671362516129 -0.983139255645161 -0.968332141612903 -0.96327908016129 -0.979122344354839 -0.983711904677419 -0.962341960806452 -0.967256854193548 -0.96552427516129 -0.968350217419355 -0.975949597903226 -0.975305377903226 -0.96458672483871 -0.955441855806452 -0.984278251290323 -0.982568158064516
"LAYING" 4 -0.110688150314815 -0.962667314814815 0.341531310555556 -0.976176608888889 -0.00641054328740741 -0.978511984259259 0.169720404092593 -0.962073755 -0.0712156288333333 -0.983965359814815 -0.954557603148148 -0.931292216611111 -0.954557603148148 -0.931292216611111 -0.970095771666667 -0.960786430740741 -0.930236462592593 -0.947031781666667 -0.985068502037037 -0.982698213703704 -0.967504278888889 -0.962154454259259 -0.975383329444444 -0.980261236296296 -0.961479262592593 -0.965807466666667 -0.939389701296296 -0.937187975962963 -0.96228712537037 -0.958037119259259 -0.961556660185185 -0.947100325185185 -0.983609073333333 -0.982543631666667
"LAYING" 5 -0.107937603673077 -0.968562516346154 0.263644691923077 -0.977076645 -0.00304067159653846 -0.985419368461538 0.159894366942308 -0.960583776923077 -0.07083096875 -0.989679592307692 -0.966777882884615 -0.958612786346154 -0.966777882884615 -0.958612786346154 -0.980141253846154 -0.977477145384615 -0.946938300576923 -0.958287921923077 -0.9864194225 -0.98377138 -0.977007724615385 -0.965882191153846 -0.983250309423077 -0.986135599038461 -0.963202948461538 -0.963305738076923 -0.962234984038462 -0.962525369423077 -0.977356379807692 -0.976381934807692 -0.968257068846154 -0.959263063269231 -0.984618025769231 -0.983434493076923
"LAYING" 6 -0.133119570368421 -0.925216100350877 0.175867709021053 -0.928130738421053 0.00328817288070175 -0.959646055263158 0.179102058245614 -0.939141878596491 -0.0717774743859649 -0.959579071578947 -0.918878850824561 -0.897326245964912 -0.918878850824561 -0.897326245964912 -0.954750504912281 -0.950341934385965 -0.908980174736842 -0.920914497017544 -0.955645738245614 -0.953157001578947 -0.938044912280702 -0.924004748421053 -0.954425844736842 -0.963567540877193 -0.932636612807018 -0.947136774385965 -0.91235165222807 -0.905373979824561 -0.948655471052632 -0.951552664035088 -0.930153639473684 -0.928694890175439 -0.953695957368421 -0.955504654561404
"LAYING" 7 -0.101361036576923 -0.952978365961539 0.907537823461538 -0.961908984423077 -0.0131653918205769 -0.972983064230769 0.155920029769231 -0.955294890576923 -0.0671901794615385 -0.988871878269231 -0.936392023846154 -0.907039513153846 -0.936392023846154 -0.907039513153846 -0.980127239615385 -0.967310932307692 -0.915793634807692 -0.918662459038462 -0.983008829038462 -0.971205137884615 -0.958611644615385 -0.953380646346154 -0.969524977692308 -0.975072995192308 -0.956905310961538 -0.9588764125 -0.927976880634615 -0.910542462919231 -0.968066259230769 -0.965359228076923 -0.941130719230769 -0.918892518653846 -0.974117912115385 -0.969403035384615
"LAYING" 8 -0.102245365611111 -0.932491454407407 0.719831539259259 -0.94183626337037 -0.0169218791344444 -0.96608757462963 0.13818830737037 -0.96758975462963 -0.0694123150925926 -0.987601203703704 -0.935308633888889 -0.91325033 -0.935308633888889 -0.91325033 -0.97314748962963 -0.962954517222222 -0.924253348518518 -0.932470764444444 -0.978438191296296 -0.969029111666667 -0.944269514074074 -0.931146497518519 -0.962111136666667 -0.968699222962963 -0.967461239074074 -0.970671966481481 -0.932279645518518 -0.917257979425926 -0.961792852407407 -0.963791094259259 -0.944528950555556 -0.93678697 -0.968403945925926 -0.971793279814815
"LAYING" 9 -0.10754972144 -0.9407072854 0.9578730416 -0.9712046902 -0.0070536778584 -0.958562455 0.101275010682 -0.9615953704 -0.0569490475 -0.9770761602 -0.9308684376 -0.91512680016 -0.9308684376 -0.91512680016 -0.9633745492 -0.9550268052 -0.9071250998 -0.8985578738 -0.964524819 -0.9528015598 -0.9459190006 -0.9419711636 -0.955909215 -0.9597147176 -0.9598150092 -0.965686312 -0.9266042952 -0.921929738394 -0.9543205856 -0.9550947122 -0.9186053356 -0.9034005814 -0.9558062546 -0.9522904702
"LAYING" 10 -0.117168642362069 -0.95947148637931 -0.031121624137931 -0.963045642431035 0.00716689586275862 -0.976256662586207 0.104720478344828 -0.971940597413793 -0.0590744912758621 -0.983949302758621 -0.956781819655172 -0.940301654482759 -0.956781819655172 -0.940301654482759 -0.976234435172414 -0.967556980689655 -0.937590998793103 -0.927471165517241 -0.970830848965517 -0.959632931551724 -0.964300845172414 -0.959813667810345 -0.972592212931034 -0.978582339137931 -0.969755777241379 -0.975298797068965 -0.950848109137931 -0.944304974655172 -0.968561121551724 -0.965377553448276 -0.937692642586207 -0.933701315344828 -0.960976821551724 -0.960772875517241
